Proposed URL,Primary keyword,Page type,Parent topic hub,decision,reason,nextAction,Deployment status
/mm-to-meter,mm to meter,Guide or converter,/measurement-guides,Candidate,"Distinct unit-pair intent, but must be implemented with a real converter, formula, precision guidance, examples, FAQ, and hub links.",Prepare content model only after 14 days of Batch 1 GSC observation.,Withheld for future approved batch
/mm-to-km,mm to km,Guide or converter,/measurement-guides,Withhold,Technically valid but low practical value for the current inch/cm audience unless query data proves demand.,Prefer stronger everyday length-pair or guide pages first.,Withheld for future approved batch
/mm-to-foot,mm to foot,Guide or converter,/measurement-guides,Candidate,"Distinct unit-pair intent, but must be implemented with a real converter, formula, precision guidance, examples, FAQ, and hub links.",Prepare content model only after 14 days of Batch 1 GSC observation.,Withheld for future approved batch
/mm-to-yard,mm to yard,Guide or converter,/measurement-guides,Candidate,"Distinct unit-pair intent, but must be implemented with a real converter, formula, precision guidance, examples, FAQ, and hub links.",Prepare content model only after 14 days of Batch 1 GSC observation.,Withheld for future approved batch
/mm-to-mile,mm to mile,Guide or converter,/measurement-guides,Withhold,Technically valid but low practical value for the current inch/cm audience unless query data proves demand.,Prefer stronger everyday length-pair or guide pages first.,Withheld for future approved batch
/mm-to-micrometer,mm to micrometer,Guide or converter,/measurement-guides,Withhold,"Allowed topic, but likely needs precision-specific content, examples, and stronger demand evidence before publication.",Keep in inventory; require GSC or keyword evidence and a dedicated precision-measurement template.,Withheld for future approved batch
/mm-to-nanometer,mm to nanometer,Guide or converter,/measurement-guides,Withhold,"Allowed topic, but likely needs precision-specific content, examples, and stronger demand evidence before publication.",Keep in inventory; require GSC or keyword evidence and a dedicated precision-measurement template.,Withheld for future approved batch
/meter-to-inch,meter to inch,Guide or converter,/measurement-guides,Candidate,"Distinct unit-pair intent, but must be implemented with a real converter, formula, precision guidance, examples, FAQ, and hub links.",Prepare content model only after 14 days of Batch 1 GSC observation.,Withheld for future approved batch
/meter-to-cm,meter to cm,Guide or converter,/measurement-guides,Reject,Duplicate wording or singular/plural variant of existing /meters-to-cm.,Map query variants to the existing canonical page; do not publish a new URL.,Withheld for future approved batch
/meter-to-mm,meter to mm,Guide or converter,/measurement-guides,Candidate,"Distinct unit-pair intent, but must be implemented with a real converter, formula, precision guidance, examples, FAQ, and hub links.",Prepare content model only after 14 days of Batch 1 GSC observation.,Withheld for future approved batch
/meter-to-km,meter to km,Guide or converter,/measurement-guides,Candidate,"Distinct unit-pair intent, but must be implemented with a real converter, formula, precision guidance, examples, FAQ, and hub links.",Prepare content model only after 14 days of Batch 1 GSC observation.,Withheld for future approved batch
/meter-to-foot,meter to foot,Guide or converter,/measurement-guides,Candidate,"Distinct unit-pair intent, but must be implemented with a real converter, formula, precision guidance, examples, FAQ, and hub links.",Prepare content model only after 14 days of Batch 1 GSC observation.,Withheld for future approved batch
/meter-to-yard,meter to yard,Guide or converter,/measurement-guides,Reject,Duplicate wording or singular/plural variant of existing /meters-to-yards.,Map query variants to the existing canonical page; do not publish a new URL.,Withheld for future approved batch
/meter-to-mile,meter to mile,Guide or converter,/measurement-guides,Candidate,"Distinct unit-pair intent, but must be implemented with a real converter, formula, precision guidance, examples, FAQ, and hub links.",Prepare content model only after 14 days of Batch 1 GSC observation.,Withheld for future approved batch
/meter-to-micrometer,meter to micrometer,Guide or converter,/measurement-guides,Withhold,"Allowed topic, but likely needs precision-specific content, examples, and stronger demand evidence before publication.",Keep in inventory; require GSC or keyword evidence and a dedicated precision-measurement template.,Withheld for future approved batch
/meter-to-nanometer,meter to nanometer,Guide or converter,/measurement-guides,Withhold,"Allowed topic, but likely needs precision-specific content, examples, and stronger demand evidence before publication.",Keep in inventory; require GSC or keyword evidence and a dedicated precision-measurement template.,Withheld for future approved batch
/km-to-inch,km to inch,Guide or converter,/measurement-guides,Candidate,"Distinct unit-pair intent, but must be implemented with a real converter, formula, precision guidance, examples, FAQ, and hub links.",Prepare content model only after 14 days of Batch 1 GSC observation.,Withheld for future approved batch
/km-to-cm,km to cm,Guide or converter,/measurement-guides,Candidate,"Distinct unit-pair intent, but must be implemented with a real converter, formula, precision guidance, examples, FAQ, and hub links.",Prepare content model only after 14 days of Batch 1 GSC observation.,Withheld for future approved batch
/km-to-mm,km to mm,Guide or converter,/measurement-guides,Candidate,"Distinct unit-pair intent, but must be implemented with a real converter, formula, precision guidance, examples, FAQ, and hub links.",Prepare content model only after 14 days of Batch 1 GSC observation.,Withheld for future approved batch
/km-to-meter,km to meter,Guide or converter,/measurement-guides,Candidate,"Distinct unit-pair intent, but must be implemented with a real converter, formula, precision guidance, examples, FAQ, and hub links.",Prepare content model only after 14 days of Batch 1 GSC observation.,Withheld for future approved batch
/km-to-foot,km to foot,Guide or converter,/measurement-guides,Candidate,"Distinct unit-pair intent, but must be implemented with a real converter, formula, precision guidance, examples, FAQ, and hub links.",Prepare content model only after 14 days of Batch 1 GSC observation.,Withheld for future approved batch
/km-to-yard,km to yard,Guide or converter,/measurement-guides,Candidate,"Distinct unit-pair intent, but must be implemented with a real converter, formula, precision guidance, examples, FAQ, and hub links.",Prepare content model only after 14 days of Batch 1 GSC observation.,Withheld for future approved batch
/km-to-mile,km to mile,Guide or converter,/measurement-guides,Reject,Duplicate wording or singular/plural variant of existing /km-to-miles.,Map query variants to the existing canonical page; do not publish a new URL.,Withheld for future approved batch
/km-to-micrometer,km to micrometer,Guide or converter,/measurement-guides,Withhold,"Allowed topic, but likely needs precision-specific content, examples, and stronger demand evidence before publication.",Keep in inventory; require GSC or keyword evidence and a dedicated precision-measurement template.,Withheld for future approved batch
/km-to-nanometer,km to nanometer,Guide or converter,/measurement-guides,Withhold,"Allowed topic, but likely needs precision-specific content, examples, and stronger demand evidence before publication.",Keep in inventory; require GSC or keyword evidence and a dedicated precision-measurement template.,Withheld for future approved batch
/foot-to-inch,foot to inch,Guide or converter,/measurement-guides,Reject,Duplicate wording or singular/plural variant of existing /feet-to-inches.,Map query variants to the existing canonical page; do not publish a new URL.,Withheld for future approved batch
/foot-to-cm,foot to cm,Guide or converter,/measurement-guides,Candidate,"Distinct unit-pair intent, but must be implemented with a real converter, formula, precision guidance, examples, FAQ, and hub links.",Prepare content model only after 14 days of Batch 1 GSC observation.,Withheld for future approved batch
/foot-to-mm,foot to mm,Guide or converter,/measurement-guides,Candidate,"Distinct unit-pair intent, but must be implemented with a real converter, formula, precision guidance, examples, FAQ, and hub links.",Prepare content model only after 14 days of Batch 1 GSC observation.,Withheld for future approved batch
/foot-to-meter,foot to meter,Guide or converter,/measurement-guides,Reject,Duplicate wording or singular/plural variant of existing /feet-to-meters.,Map query variants to the existing canonical page; do not publish a new URL.,Withheld for future approved batch
/foot-to-km,foot to km,Guide or converter,/measurement-guides,Candidate,"Distinct unit-pair intent, but must be implemented with a real converter, formula, precision guidance, examples, FAQ, and hub links.",Prepare content model only after 14 days of Batch 1 GSC observation.,Withheld for future approved batch
/foot-to-yard,foot to yard,Guide or converter,/measurement-guides,Candidate,"Distinct unit-pair intent, but must be implemented with a real converter, formula, precision guidance, examples, FAQ, and hub links.",Prepare content model only after 14 days of Batch 1 GSC observation.,Withheld for future approved batch
/foot-to-mile,foot to mile,Guide or converter,/measurement-guides,Candidate,"Distinct unit-pair intent, but must be implemented with a real converter, formula, precision guidance, examples, FAQ, and hub links.",Prepare content model only after 14 days of Batch 1 GSC observation.,Withheld for future approved batch
/foot-to-micrometer,foot to micrometer,Guide or converter,/measurement-guides,Withhold,"Allowed topic, but likely needs precision-specific content, examples, and stronger demand evidence before publication.",Keep in inventory; require GSC or keyword evidence and a dedicated precision-measurement template.,Withheld for future approved batch
/foot-to-nanometer,foot to nanometer,Guide or converter,/measurement-guides,Withhold,"Allowed topic, but likely needs precision-specific content, examples, and stronger demand evidence before publication.",Keep in inventory; require GSC or keyword evidence and a dedicated precision-measurement template.,Withheld for future approved batch
/yard-to-inch,yard to inch,Guide or converter,/measurement-guides,Candidate,"Distinct unit-pair intent, but must be implemented with a real converter, formula, precision guidance, examples, FAQ, and hub links.",Prepare content model only after 14 days of Batch 1 GSC observation.,Withheld for future approved batch
/yard-to-cm,yard to cm,Guide or converter,/measurement-guides,Candidate,"Distinct unit-pair intent, but must be implemented with a real converter, formula, precision guidance, examples, FAQ, and hub links.",Prepare content model only after 14 days of Batch 1 GSC observation.,Withheld for future approved batch
/yard-to-mm,yard to mm,Guide or converter,/measurement-guides,Candidate,"Distinct unit-pair intent, but must be implemented with a real converter, formula, precision guidance, examples, FAQ, and hub links.",Prepare content model only after 14 days of Batch 1 GSC observation.,Withheld for future approved batch
/yard-to-meter,yard to meter,Guide or converter,/measurement-guides,Reject,Duplicate wording or singular/plural variant of existing /yards-to-meters.,Map query variants to the existing canonical page; do not publish a new URL.,Withheld for future approved batch
/yard-to-km,yard to km,Guide or converter,/measurement-guides,Candidate,"Distinct unit-pair intent, but must be implemented with a real converter, formula, precision guidance, examples, FAQ, and hub links.",Prepare content model only after 14 days of Batch 1 GSC observation.,Withheld for future approved batch
/yard-to-foot,yard to foot,Guide or converter,/measurement-guides,Candidate,"Distinct unit-pair intent, but must be implemented with a real converter, formula, precision guidance, examples, FAQ, and hub links.",Prepare content model only after 14 days of Batch 1 GSC observation.,Withheld for future approved batch
/yard-to-mile,yard to mile,Guide or converter,/measurement-guides,Candidate,"Distinct unit-pair intent, but must be implemented with a real converter, formula, precision guidance, examples, FAQ, and hub links.",Prepare content model only after 14 days of Batch 1 GSC observation.,Withheld for future approved batch
/yard-to-micrometer,yard to micrometer,Guide or converter,/measurement-guides,Withhold,"Allowed topic, but likely needs precision-specific content, examples, and stronger demand evidence before publication.",Keep in inventory; require GSC or keyword evidence and a dedicated precision-measurement template.,Withheld for future approved batch
/yard-to-nanometer,yard to nanometer,Guide or converter,/measurement-guides,Withhold,"Allowed topic, but likely needs precision-specific content, examples, and stronger demand evidence before publication.",Keep in inventory; require GSC or keyword evidence and a dedicated precision-measurement template.,Withheld for future approved batch
/mile-to-inch,mile to inch,Guide or converter,/measurement-guides,Candidate,"Distinct unit-pair intent, but must be implemented with a real converter, formula, precision guidance, examples, FAQ, and hub links.",Prepare content model only after 14 days of Batch 1 GSC observation.,Withheld for future approved batch
/mile-to-cm,mile to cm,Guide or converter,/measurement-guides,Candidate,"Distinct unit-pair intent, but must be implemented with a real converter, formula, precision guidance, examples, FAQ, and hub links.",Prepare content model only after 14 days of Batch 1 GSC observation.,Withheld for future approved batch
/mile-to-mm,mile to mm,Guide or converter,/measurement-guides,Candidate,"Distinct unit-pair intent, but must be implemented with a real converter, formula, precision guidance, examples, FAQ, and hub links.",Prepare content model only after 14 days of Batch 1 GSC observation.,Withheld for future approved batch
/mile-to-meter,mile to meter,Guide or converter,/measurement-guides,Candidate,"Distinct unit-pair intent, but must be implemented with a real converter, formula, precision guidance, examples, FAQ, and hub links.",Prepare content model only after 14 days of Batch 1 GSC observation.,Withheld for future approved batch
/mile-to-km,mile to km,Guide or converter,/measurement-guides,Reject,Duplicate wording or singular/plural variant of existing /miles-to-km.,Map query variants to the existing canonical page; do not publish a new URL.,Withheld for future approved batch
/mile-to-foot,mile to foot,Guide or converter,/measurement-guides,Candidate,"Distinct unit-pair intent, but must be implemented with a real converter, formula, precision guidance, examples, FAQ, and hub links.",Prepare content model only after 14 days of Batch 1 GSC observation.,Withheld for future approved batch
/mile-to-yard,mile to yard,Guide or converter,/measurement-guides,Candidate,"Distinct unit-pair intent, but must be implemented with a real converter, formula, precision guidance, examples, FAQ, and hub links.",Prepare content model only after 14 days of Batch 1 GSC observation.,Withheld for future approved batch
/mile-to-micrometer,mile to micrometer,Guide or converter,/measurement-guides,Withhold,"Allowed topic, but likely needs precision-specific content, examples, and stronger demand evidence before publication.",Keep in inventory; require GSC or keyword evidence and a dedicated precision-measurement template.,Withheld for future approved batch
/mile-to-nanometer,mile to nanometer,Guide or converter,/measurement-guides,Withhold,"Allowed topic, but likely needs precision-specific content, examples, and stronger demand evidence before publication.",Keep in inventory; require GSC or keyword evidence and a dedicated precision-measurement template.,Withheld for future approved batch
/micrometer-to-inch,micrometer to inch,Guide or converter,/measurement-guides,Withhold,"Allowed topic, but likely needs precision-specific content, examples, and stronger demand evidence before publication.",Keep in inventory; require GSC or keyword evidence and a dedicated precision-measurement template.,Withheld for future approved batch
/micrometer-to-cm,micrometer to cm,Guide or converter,/measurement-guides,Withhold,"Allowed topic, but likely needs precision-specific content, examples, and stronger demand evidence before publication.",Keep in inventory; require GSC or keyword evidence and a dedicated precision-measurement template.,Withheld for future approved batch
/micrometer-to-mm,micrometer to mm,Guide or converter,/measurement-guides,Withhold,"Allowed topic, but likely needs precision-specific content, examples, and stronger demand evidence before publication.",Keep in inventory; require GSC or keyword evidence and a dedicated precision-measurement template.,Withheld for future approved batch
/micrometer-to-meter,micrometer to meter,Guide or converter,/measurement-guides,Withhold,"Allowed topic, but likely needs precision-specific content, examples, and stronger demand evidence before publication.",Keep in inventory; require GSC or keyword evidence and a dedicated precision-measurement template.,Withheld for future approved batch
/micrometer-to-km,micrometer to km,Guide or converter,/measurement-guides,Withhold,"Allowed topic, but likely needs precision-specific content, examples, and stronger demand evidence before publication.",Keep in inventory; require GSC or keyword evidence and a dedicated precision-measurement template.,Withheld for future approved batch
